Just so i know what it is,,,Where the event canvas will be,Overall Positivity. If sad positive is more likely. True or false,True or false. Insane events will only have a chance of happening when the insanity stat is high enough,Higher or lower chance of events happening. 1 is high 0.1 is low,Negative is negative effect to happiness. Positive is positive effect,These will add and subtract directly from the happiness. 1 is like ecstatic 0 is suicidal,Event timeframe. This is the minimum day it can happen,,A month in this game is 30 days. There will be 3 months of gameplay. The player plays every 3 days of this guys life. Meaning there will be 30 days of their playtime. 3-5 events will happen per day,,ALFIE YOU REMOVED ALL THE 3RD CHOICE COLUMNS REMEMBER
Fridge door won't close,The developers fridge door is stuck but is fixed with ease,The developers fridge door falls off and all their food is ruined,kitchen,FALSE,FALSE,0.2,0.1,-0.1,0,,,,
Phone battery critically low,Phone battery critically low,The developer must update to andrid 47 immediately and it will take 4 hours,phone on desk,FALSE,FALSE,0.3,-0.1,-0.2,0,,,,
Developer receives an unexpected thank-you note,The developer recieves a note expressing gratitude for their work,The developer recieves a letter begging for game keys,mail,FALSE,FALSE,0.4,0.1,-0.2,0,,,,
Sudden power outage,The lights go out,The computer screen flickers and goes off,computer screen,FALSE,FALSE,0.3,-0.1,-0.1,0,,,,
Inbox full of fan mail,Several fans have sent encouraging messages,An angry fan warns you of an impending pipe bomb delivery,mail,FALSE,FALSE,0.3,0.1,-0.3,0,,,,
Game-breaking bug discovered,Developer fixes a bug quickly,Developer spends hours trying to fix a bug,computer screen,FALSE,FALSE,0.4,0.2,-0.3,0,,,,
New game idea brainstorm,Developer comes up with a brilliant new game concept,Developer struggles to think of anything innovative,computer screen,FALSE,FALSE,0.4,0.2,-0.2,0,,,,
Promising playtest results,Players give the developer feedback on how they love the game's mechanics,Players find numerous game-breaking bugs in the developers work,computer screen,FALSE,FALSE,0.4,0.2,-0.3,0,,,,
New email from a potential sponsor,The develoer recieves a letter from a potential sponsor,The developer recieves a letter saying that their sponsorship request has been denied,mail,FALSE,FALSE,0.3,0.1,-0.2,0,,,,
Sudden inspiration,Developer has a groundbreaking idea for the game,Developer's mind goes blank,computer screen,FALSE,FALSE,0.4,0.1,-0.2,0,,,,
Phone call from a friend,A friend offers to help with the game,A friend asks for money,phone on desk,FALSE,FALSE,0.3,0.1,-0.1,0,,,,
New game review,A positive review boosts developer's morale,A negative review dampens the developer's spirits,computer screen,FALSE,FALSE,0.4,0.1,-0.2,0,,,,
Overdue bills reminder,Developer recieves a letter notifying them of unpaid bills,Developer forgets has forgotten to pay their bills and has been charged,mail,FALSE,FALSE,0.2,0.1,-0.3,0,,,,
Unexpected phone call from a mentor,The developer recieves an unexpected phone call from his old tutor David encouraging him,The developer recieves an accidental call,phone on desk,FALSE,FALSE,0.4,0.3,0,0,,,,
Bug-free playtest results,Players love the developers test build with no issues,A playtest reveals critical bugs in the developers work,computer screen,FALSE,FALSE,0.4,0.1,-0.3,0,,,,
New game jam announcement,Developer excitedly starts planning for the next jam as its just been announced,Developer is too overwhelmed with the current project,computer screen,FALSE,FALSE,0.4,0.1,-0.2,0,,,,
Coffee machine malfunction,Developer fixes their broken coffee machine and enjoys a drink,The developers coffe machine is destroyed,kitchen,FALSE,FALSE,0.3,0.1,-0.2,0,,,,
Late-night brainstorming session,Developer has a breakthrough idea,Developer struggles to stay awake and focus,computer screen,FALSE,FALSE,0.4,0.1,-0.2,0,,,,
Phone notification about dad,"Hey developer, your dad just got admitted to hospital. We've not talked in a while, are you okay?","Hey developer, your dad got promoted at work!",phone on desk,FALSE,FALSE,0.5,-0.2,0.1,0,,,,
Phone notification. We are watching,WE'RE WATCHING YOU,WE'RE WATCHING YOU,phone on desk,FALSE,TRUE,0.3,-0.3,-0.3,0,,,,
Latest social media post gets positive attention,Developer gained 5 new likes!,Developer gained 5 new followers!,phone on desk,FALSE,FALSE,0.5,0.1,0.1,0,,,,
Funny joke letter,Letter has a really funny joke on it,Letter lets you know that you have won the People's Postcode Lottery! (3 pounds),mail,TRUE,FALSE,0.2,0.2,0.2,0,,,,
Scary letter arrives through mail,Letter warning the developer of their copyright infringement,Letter reminds the developer to pay their TV license,mail,FALSE,FALSE,0.2,-0.4,0.2,0,,,,
Finding beloved recipe (the bad result makes the player laugh because the food is so bad it's funny),The developer tries a family recipe and it's great,The developer tries a family recipe and it's laughably bad,kitchen,TRUE,FALSE,0.3,0.2,0.2,0,,,,
Phone notification from a long-lost friend,An old friend from school wants to catch up and have coffee!,An old friend from school wants to reconnect and talk about old times.,phone on desk,TRUE,FALSE,0.4,0.2,0.1,0,,,,
Computer screen goes black,Developer manages to fix the issue and resume work.,Developer can't figure out the problem and panics.,computer screen,FALSE,FALSE,0.3,0.2,-0.3,0,,,,
Mysterious phone call,Unknown caller invites the developer to a secret game development society meeting.,Unknown caller demands money for a mysterious package.,phone on desk,FALSE,FALSE,0.3,0.2,-0.3,0,,,,
Important email from a potential publisher,A major game publisher expresses interest in the developer's game and wants to discuss a deal.,An email from a potential publisher turns out to be a spam message.,mail,FALSE,FALSE,0.3,0.1,-0.1,0,,,,
Sudden craving for a snack,The developer finds a tasty snack in the kitchen.,The developer discovers there are no snacks left in the kitchen.,kitchen,FALSE,FALSE,0.4,0.1,-0.1,0,,,,
Phone notification about a local game development meetup,A local game development meetup is happening tonight. The developer is invited and encouraged to attend.,"The developer receives a notification but accidentally deletes it, missing the meetup.",phone on desk,FALSE,FALSE,0.4,0.1,-0.1,0,,,,
Computer virus alert,"Developer's antivirus software detects and removes a potential virus, keeping the computer safe.","Developer's computer gets infected with a virus, leading to data loss and frustration.",computer screen,FALSE,FALSE,0.3,0.2,-0.2,0,,,,
Phone battery running low,Developer finds a charging cable and continues using the phone.,Developer can't find a charging cable and loses access to the phone for a while.,phone on desk,FALSE,FALSE,0.3,0.2,-0.1,0,,,,
Inspirational quote in the mailbox,"Developer finds an inspirational quote in the mailbox, boosting motivation.","Developer receives a bill in the mailbox, adding stress.",mail,FALSE,FALSE,0.3,0.1,-0.2,0,,,,
Coffee machine malfunction,Developer manages to fix the coffee machine and enjoys a fresh cup of coffee.,Developer gives up on fixing the coffee machine and goes without coffee.,kitchen,FALSE,FALSE,0.2,0.1,-0.1,0,,,,
Phone call from a distant relative,A distant relative calls to offer words of encouragement and support.,"A distant relative calls with negative news, adding stress.",phone on desk,FALSE,FALSE,0.3,0.1,-0.2,0,,,,
Lost game development notes,Developer miraculously finds missing notes and continues working seamlessly.,"Developer spends hours searching but fails to find the missing notes, causing frustration.",computer screen,FALSE,FALSE,0.3,0.2,-0.2,0,,,,
Unexpected email from a fan,A fan sends a heartwarming email expressing gratitude for the developer's work.,"A fan sends a critical email, harshly criticizing the developer's recent decisions.",mail,FALSE,FALSE,0.3,0.1,-0.2,0,,,,
Phone battery fully charged,"Developer's phone is fully charged, ensuring uninterrupted communication and entertainment.","Developer's phone is left charging but overheats, causing potential damage.",phone on desk,FALSE,FALSE,0.3,0.1,-0.2,0,,,,
Intriguing game idea brainstorm,Developer has a creative brainstorming session and generates exciting new game ideas.,Developer struggles with a lack of inspiration and feels stuck.,computer screen,FALSE,FALSE,0.4,0.2,-0.2,0,,,,
Phone notification from a fellow game developer,"A fellow developer offers to collaborate on a project, potentially speeding up the game development process.","A fellow developer asks for a favor, diverting the developer's attention from their own work.",phone on desk,FALSE,FALSE,0.4,0.1,-0.2,0,,,,
Critical bug discovery,"Developer identifies and fixes a critical bug, preventing a major game-breaking issue.","Developer struggles to locate and fix the bug, causing frustration and potential delays.",computer screen,FALSE,FALSE,0.4,0.2,-0.2,0,,,,
Lost kitchen utensil,Developer quickly finds a replacement utensil and continues cooking without any issues.,"Developer searches for a missing utensil but cannot find it, causing a minor inconvenience.",kitchen,FALSE,FALSE,0.3,0.1,-0.1,0,,,,
Phone call from a game development mentor,A respected game development mentor offers valuable advice and guidance over the phone.,"A game development mentor calls to criticize the developer's recent work, causing self-doubt.",phone on desk,FALSE,FALSE,0.4,0.1,-0.2,0,,,,
Computer software crash,Developer successfully resolves the software crash and resumes work without losing progress.,"Developer struggles to fix the software crash and loses valuable work, causing frustration.",computer screen,FALSE,FALSE,0.2,0.2,-0.2,0,,,,
Flooded kitchen,Developer takes quick action to mitigate the kitchen flooding and prevent major damage.,"Developer panics and fails to control the flooding, leading to extensive damage and delays.",kitchen,FALSE,FALSE,0.2,0.2,-0.2,0,,,,
Phone notification about a game development competition,Developer receives a notification about a prestigious game development competition with a tempting cash prize.,"Developer receives a notification about a competition but accidentally dismisses it, missing out on a great opportunity.",phone on desk,FALSE,FALSE,0.4,0.1,-0.2,0,,,,
Developer gets a sudden burst of creativity,Developer comes up with a brilliant game mechanic idea,Developer gets stuck and frustrated with a creative block,computer screen,FALSE,FALSE,0.4,0.3,-0.2,0,,,,
Phone call from a distant friend,A friend calls to catch up and chat about life,A telemarketer calls trying to sell a new vacuum cleaner,phone on desk,FALSE,FALSE,0.3,0,-0.2,0,,,,
Email from a potential sponsor,An interested sponsor offers financial support for the game,An email from a scammer offering dubious partnership,mail,FALSE,FALSE,0.2,0.1,-0.2,0,,,,
Game development community support,The developer receives encouraging messages from fellow game developers,The developer receives criticism and negative comments online,phone on desk,FALSE,FALSE,0.4,0,-0.3,0,,,,
Deadline extension request from the organizer,The organizer grants an extra week for the game jam,The organizer rejects the deadline extension request,computer screen,FALSE,FALSE,0.2,0,-0.2,0,,,,
Weird game bug discovered,Developer quickly fixes the bug without any issues,Developer struggles for hours but can't figure out how to fix the bug,computer screen,FALSE,FALSE,0.3,0.2,-0.3,0,,,,
Lost in thought while coding,The developer comes up with a unique and creative game idea,The developer daydreams and loses track of time,computer screen,FALSE,FALSE,0.4,0.1,-0.2,0,,,,
Coffee machine malfunction,The coffee machine brews a perfect cup of coffee,The coffee machine spills hot coffee all over the developer's desk,kitchen,FALSE,FALSE,0.2,0.2,-0.2,0,,,,
Email from a gaming magazine,A gaming magazine wants to feature the developer's game,An email from a disgruntled player with negative feedback,mail,FALSE,FALSE,0.3,0,-0.2,0,,,,
Sudden craving for a snack,Developer enjoys a healthy fruit snack,Developer indulges in a bag of unhealthy chips from the kitchen,kitchen,FALSE,FALSE,0.3,0.1,-0.1,0,,,,
Intriguing game concept video,Developer finds an inspiring game concept video online,Developer stumbles upon a poorly made and confusing game concept video,computer screen,FALSE,FALSE,0.3,0,-0.2,0,,,,
Positive email from a fellow developer,A fellow developer sends encouraging words and advice,An email from a rival developer with a taunting tone,mail,FALSE,FALSE,0.3,0,-0.2,0,,,,
Disturbing dream during a quick nap,The dream provides a creative idea for the game,The dream is unsettling and leaves the developer feeling uneasy,computer screen,FALSE,FALSE,0.3,0.1,-0.1,0,,,,
Gameplay testing session,Testers give positive feedback on the game mechanics,Testers find multiple game-breaking bugs,computer screen,FALSE,FALSE,0.4,0.1,-0.3,0,,,,
New game jam announcement,Developer is excited about the new opportunity,Developer feels overwhelmed by the prospect of another jam,computer screen,FALSE,FALSE,0.3,0,-0.2,0,,,,
Email from a former teammate,A former teammate offers to help with the game jam,A teammate criticizes the developer for past mistakes,mail,FALSE,FALSE,0.3,0,-0.2,0,,,,
Cat jumps onto the keyboard,The cat's antics provide a much-needed break and a good laugh,The cat accidentally deletes a significant portion of the code,computer screen,FALSE,FALSE,0.3,0.2,-0.3,0,,,,
Positive feedback on a game forum,A forum user praises the developer's game development skills,A troll leaves negative comments and tries to provoke the developer,computer screen,FALSE,FALSE,0.4,0,-0.3,0,,,,
Unread message notification,The message is from a friend offering support and encouragement,The message is spam and promotes dubious products,phone on desk,FALSE,FALSE,0.3,0,-0.2,0,,,,
Coffee spill on the kitchen floor,Developer cleans it up quickly without any issues,Coffee spill creates a slippery mess and causes a minor accident,kitchen,FALSE,FALSE,0.2,0.1,-0.1,0,,,,
Unexpected call from a long-lost relative,The call is filled with heartwarming stories and laughter,The relative demands financial help and becomes upset,phone on desk,FALSE,FALSE,0.3,0.1,-0.1,0,,,,
Developer receives a thank-you email from a fan,The email expresses gratitude for creating an awesome game,The email contains fan art inspired by the developer's game,mail,TRUE,FALSE,0.4,0.3,0.1,0,,,,
Positive feedback on the game jam progress,The developer receives encouraging comments on their game jam blog post,The developer gets a shout-out on a game jam forum,computer screen,TRUE,FALSE,0.7,0.2,0.1,0,,,,
The developer discovers a hidden Easter egg in their game,The Easter egg unlocks a special power-up for the player,The Easter egg reveals a humorous in-game joke,computer screen,TRUE,FALSE,0.3,0.2,0.1,0,,,,
Phone notification with exciting news,The developer is invited to showcase their game at a gaming convention,The developer is offered a sponsorship deal for their game,phone on desk,TRUE,FALSE,0.4,0.3,0.2,0,,,,
A positive game review is published online,The review praises the developer's creativity and gameplay design,The review mentions the game as a potential contender for an indie game award,computer screen,TRUE,FALSE,0.6,0.4,0.1,0,,,,
Developer wins a small game jam prize,The prize includes a gift card to a favorite coffee shop,The prize includes a feature article on the developer's game in a gaming magazine,computer screen,TRUE,FALSE,0.4,0.3,0.2,0,,,,
The developer's favorite snack magically appears on the kitchen counter,The snack is fresh and ready to be enjoyed,The snack comes with a cheerful note from an anonymous supporter,kitchen,TRUE,FALSE,0.5,0.3,0.2,0,,,,
Phone notification from a game industry mentor,The mentor offers valuable advice and encouragement,The mentor invites the developer to a networking event,phone on desk,TRUE,FALSE,0.6,0.4,0.1,0,,,,
Unexpected positive feedback from a playtester,The playtester praises the game's innovative mechanics,The playtester suggests a minor improvement that makes the game even better,computer screen,TRUE,FALSE,0.5,0.3,0.2,0,,,,
The developer receives a handwritten letter of appreciation,The letter is from a young fan who loves the developer's game,The letter includes a drawing of the game's main character,mail,TRUE,FALSE,0.4,0.3,0.2,0,,,,
Positive playtester feedback leads to game improvement,The feedback helps the developer fix a game-breaking bug,The feedback suggests a fun new feature that enhances gameplay,computer screen,TRUE,FALSE,0.6,0.4,0.2,0,,,,
The developer's favorite coffee brand sends a gift,The gift includes a year's supply of premium coffee beans,"The gift also features a personalized ""Game Developer Blend"" label",kitchen,TRUE,FALSE,0.4,0.3,0.2,0,,,,
A fan-made video tribute to the developer's game goes viral,The video showcases fan-created art and gameplay highlights,The video receives praise from the gaming community and media,computer screen,TRUE,FALSE,0.7,0.4,0.1,0,,,,
Phone notification with an uplifting message from a friend,"Hey developer, you've got this! Keep rocking that game jam!","Hey developer, believe in yourself, your game is going to be amazing!",phone on desk,TRUE,FALSE,0.6,0.3,0.2,0,,,,
A random act of kindness from a neighbor,The neighbor offers to walk the developer's dog for a day,The neighbor shares homemade cookies as a gesture of goodwill,kitchen,TRUE,FALSE,0.5,0.3,0.2,0,,,,
Developer sees shadowy figure in the room,The developer sees a shadowy figure and confronts it,The developer sees shadowy figures and hides under the desk,computer screen,FALSE,TRUE,0.4,-0.3,-0.2,0,,,,
Mysterious voice whispers strange secrets to the developer,The developer listens to a mysterious voice and learns forbidden knowledge,The developer hears a mysterious voice so covers their ears and screams,computer screen,FALSE,TRUE,0.3,0,-0.3,0,,,,
Inexplicable message appears on the computer screen,A strange message apears and the developer follows the mysterious instructions,A strange message appears and the developer shuts down the computer,computer screen,FALSE,TRUE,0.3,0,-0.3,0,,,,
Strange symbols drawn on the kitchen walls,The developer finds strange symbols and reads them to gain strange powers,Strange symbols appear on the walls and the developer panics and tries to get them off,kitchen,FALSE,TRUE,0.4,0.2,-0.3,0,,,,
Eerie whispers fill the room,The developer hears whispers and tries to communicate with the spirits,The developer frantically searches for the source of the whispers he is hearing,computer screen,FALSE,TRUE,0.4,0,-0.3,0,,,,
The developer's reflection in the computer screen starts talking,The developer speaks to his own reflection in the screen,The developer covers the screen and refuses to look as he sees himself in it,computer screen,FALSE,TRUE,0.4,0,-0.3,0,,,,
Mysterious message appears in the developer's code,The developer reads a cryptic message in the code,"A message appears in the developers code which he didnt write, terrifying him",computer screen,FALSE,TRUE,0.3,0,-0.3,0,,,,
Mail contains a letter written in an unknown language,The developer reads a letter with arcane knowledge,The developer recieves a letter in an unknown language,mail,FALSE,TRUE,0.3,0.2,-0.3,0,,,,
The developer hears sinister laughter coming from the computer,The developer hears laughter and uncovers a dark secret,The developer hears sinister laughing and turns off the computer in a panic,computer screen,FALSE,TRUE,0.4,0.2,-0.3,0,,,,
The developer's kitchen appliances start moving on their own,Spirits appear in the kitchen and the developer tries to communicate with them,The developer sees their kitchen appliances move and rushes out of the kitchen in fear,kitchen,FALSE,TRUE,0.4,0,-0.3,0,,,,
Phone call from a distorted voice claiming to be from the future,An evil entity contacts the developer and they listen,The developer recieves a call from a distorded line. He hangs up and wonders if it was a prank,phone on desk,FALSE,TRUE,0.4,0,-0.2,0,,,,
A mysterious voice starts narrating the developer's actions,The developer listens to the voice's narrating his life,The developer covers their ears and tries to drown out the voice narrating their every move,home,FALSE,TRUE,0.4,0,-0.2,0,,,,
A million pounds falls from the sky,The developer picks up the trillion pounds that has fallen from the sky,The developer ignores the money as he cant be bothered to pick it up,money,FALSE,FALSE,0.1,1,-1,0,,,,
